Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2019-12-24 11:53:32,false,"Treadmill Running","2.14","275","00:21:19","170","193","4.0","147","245","9:57","5:41","--","--","1.10","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:50.88","3","0.0","00:20:40","00:21:19","--","--"
Running,2019-12-14 12:16:49,false,"Bethlehem Running","3.82","781","02:19:28","121","200","2.3","138","243","36:33","5:31","114","113","0.32","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","27:04.49","4","0.0","00:58:46","02:21:38","263","316"
Running,2019-12-13 15:13:15,false,"Bethlehem Running","0.68","78","00:06:52.4","158","174","2.3","145","167","10:03","7:26","43","--","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:10.69","8","0.0","00:06:50.4","00:06:52.4","285","328"
Treadmill Running,2019-12-10 08:19:16,false,"Treadmill Running","1.08","114","00:12:50","127","154","2.0","146","159","11:53","7:47","--","--","0.93","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:14.52","2","0.0","00:09:51","00:12:50","--","--"
Treadmill Running,2019-12-06 07:39:55,false,"Treadmill Running","1.10","163","00:18:34","131","156","2.4","145","160","16:56","7:47","--","--","0.65","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:08.84","2","0.0","00:10:18","00:18:34","--","--"
Running,2019-12-03 16:36:37,false,"Cambridge Running","0.70","78","00:08:27.5","130","162","1.9","142","222","12:06","6:17","--","--","0.94","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","1","0.0","00:08:21","00:08:44.1","10","14"
Running,2019-11-22 20:50:41,false,"Running","0.96","88","00:06:46.0","170","185","2.7","158","184","7:05","4:59","--","--","1.43","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","1","0.0","00:06:46.0","00:06:46.0","--","--"
Running,2019-10-24 17:41:22,false,"Needham Running","4.72","490","01:28:08","112","169","3.2","154","249","18:41","4:59","121","132","0.56","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","07:46.53","5","0.0","00:49:25","01:33:39","79","118"
Running,2019-10-23 17:35:34,false,"Needham Running","10.10","889","01:15:03","155","175","4.6","165","177","7:26","6:23","243","251","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:37.97","11","0.0","01:14:27","01:24:13","73","149"
Running,2019-10-22 18:55:25,false,"Cambridge Running","14.14","946","01:33:55","145","169","3.4","168","194","6:38","4:11","95","91","1.43","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.07","31","0.0","01:33:28","02:02:24","10","52"
Running,2019-10-21 17:29:03,false,"Needham Running","9.13","806","01:07:50","156","191","4.7","162","171","7:26","5:58","140","134","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:48.20","10","0.0","01:07:47","01:12:14","73","129"
Running,2019-10-20 10:43:16,false,"Cambridge Running","17.26","1,524","01:58:28","165","191","5.0","166","232","6:52","5:46","172","169","1.41","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:41.47","18","0.0","01:58:08","02:12:09","2","62"
Running,2019-10-19 08:34:33,false,"Cambridge Running","7.24","685","00:53:09","159","185","4.4","167","178","7:21","6:30","57","54","1.32","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:37.86","8","0.0","00:53:06","00:55:19","7","58"
Running,2019-10-18 17:25:06,false,"Newton Running","5.11","414","00:35:06","149","174","3.3","166","188","6:52","4:37","408","418","1.41","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:33.02","16","0.0","00:34:57","00:44:47","77","172"
Running,2019-10-18 06:34:42,false,"Cambridge Running","9.07","552","00:56:48","134","148","2.7","172","186","6:15","4:58","35","34","1.49","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:47.50","10","0.0","00:56:42","01:21:44","7","26"
