Group,Count
"    Less than $10,000","1,177,660"
"    $10,000 to $14,999","497,154"
"    $15,000 to $19,999","448,155"
"    $20,000 to $24,999","499,783"
"    $25,000 to $29,999","427,152"
"    $30,000 to $34,999","478,719"
"    $35,000 to $39,999","327,714"
"    $40,000 to $49,999","805,352"
"    $50,000 to $59,999","996,276"
"    $60,000 to $69,999","1,004,843"
"    $70,000 to $79,999","1,161,458"
"    $80,000 to $89,999","1,363,039"
"    $90,000 to $99,999","1,089,352"
"    $100,000 to $124,999","3,456,068"
"    $125,000 to $149,999","2,714,173"
"    $150,000 to $174,999","4,478,670"
"    $175,000 to $199,999","3,439,343"
"    $200,000 to $249,999","7,808,270"
"    $250,000 to $299,999","7,455,171"
"    $300,000 to $399,999","12,917,007"
"    $400,000 to $499,999","9,149,857"
"    $500,000 to $749,999","12,095,277"
"    $750,000 to $999,999","5,303,156"
"    $1,000,000 to $1,499,999","2,964,972"
"    $1,500,000 to $1,999,999","1,097,575"
"    $2,000,000 or more","1,492,888"
