Account Summary,,,,,,,,,
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,2023 Contributions,Cash Purchasing Power,,
Roth IRA -5590,15825.57,-575.05,-3.54,0,0,4441.44,137.88,,
,,,,,,,,,
,,,,,,,,,
View Summary - All Positions,,,,,,,,,
Filters applied: ,,,,,,,,,
Symbol,Security type(s),Sort by,Sort order,,,,,,
,All,Value $,Desc,,,,,,
,,,,,,,,,
Symbol,Last Price $,Change $,Change %,Quantity,Price Paid $,Day's Gain $,Total Gain $,Total Gain %,Value $
VTTSX,42.49,0,0,369.209,44.0475,0,-575.0504,-3.536,15687.6904
     08/02/2021,42.49,0,0,122.599,48.94,0,-790.7636,-13.1794,5209.2315
     12/30/2021,42.49,0,0,2.385,48.1048,0,-13.3914,-11.6721,101.3387
     12/30/2021,42.49,0,0,0.844,48.0924,0,-4.7284,-11.6493,35.8616
     12/30/2021,42.49,0,0,3.708,48.1068,0,-20.8271,-11.6757,157.5529
     02/22/2022,42.49,0,0,12.274,44.4395,0,-23.9277,-4.3868,521.5223
     03/10/2022,42.49,0,0,6.301,43.1678,0,-4.2705,-1.57,267.7295
     03/24/2022,42.49,0,0,6.037,45.3006,0,-16.9679,-6.2044,256.5121
     04/05/2022,42.49,0,0,6.019,45.3099,0,-16.9727,-6.2235,255.7473
     04/29/2022,42.49,0,0,6.503,41.9376,0,3.5925,1.3173,276.3125
     05/04/2022,42.49,0,0,6.328,43.0973,0,-3.8433,-1.4092,268.8767
     05/23/2022,42.49,0,0,6.666,40.9121,0,10.5183,3.8568,283.2383
     06/23/2022,42.49,0,0,7.027,38.81,0,25.8594,9.4821,298.5772
     07/13/2022,42.49,0,0,10.56,38.7311,0,39.6944,9.7052,448.6944
     08/03/2022,42.49,0,0,2.814,41.5352,0,2.6869,2.2988,119.5669
     08/09/2022,42.49,0,0,3.29,41.3374,0,3.7921,2.7883,139.7921
     08/17/2022,42.49,0,0,3.207,42.4072,0,0.2654,0.1952,136.2654
     08/26/2022,42.49,0,0,3.342,40.6942,0,6.0016,4.4129,142.0016
     09/07/2022,42.49,0,0,3.423,39.7312,0,9.4433,6.9436,145.4433
     09/13/2022,42.49,0,0,2.954,39.5667,0,8.6355,7.3883,125.5155
     09/20/2022,42.49,0,0,3.015,38.7662,0,11.2274,9.6059,128.1073
     10/04/2022,42.49,0,0,3.057,38.2336,0,13.0119,11.1327,129.8919
