RANK,RIDER,RIDER NO.,TEAM,TIMES,GAP,B,P
1, SEPP KUSS,24,JUMBO-VISMA,69H 13' 36'',-,B : 20'',-
2, JONAS VINGEGAARD,28,JUMBO-VISMA,69H 13' 53'',+ 00H 00' 17'',B : 38'',-
3, PRIMOŽ ROGLIČ,21,JUMBO-VISMA,69H 14' 44'',+ 00H 01' 08'',B : 28'',-
4, JUAN AYUSO,11,UAE TEAM EMIRATES,69H 17' 36'',+ 00H 04' 00'',B : 10'',-
5, MIKEL LANDA,45,BAHRAIN VICTORIOUS,69H 17' 55'',+ 00H 04' 19'',-,-
6, ENRIC MAS,141,MOVISTAR TEAM,69H 18' 06'',+ 00H 04' 30'',-,-
7, CIAN UIJTDEBROEKS,77,BORA - HANSGROHE,69H 21' 13'',+ 00H 07' 37'',-,-
8, ALEKSANDR VLASOV,71,BORA - HANSGROHE,69H 22' 11'',+ 00H 08' 35'',-,-
9, JOAO ALMEIDA,12,UAE TEAM EMIRATES,69H 23' 56'',+ 00H 10' 20'',-,-
10, SANTIAGO BUITRAGO SANCHEZ,41,BAHRAIN VICTORIOUS,69H 25' 56'',+ 00H 12' 20'',B : 10'',-
11, STEFF CRAS,181,TOTALENERGIES,69H 27' 17'',+ 00H 13' 41'',-,-
12, CRISTIAN RODRIGUEZ MARTIN,178,TEAM ARKEA - SAMSIC,69H 35' 26'',+ 00H 21' 50'',-,-
13, REMCO EVENEPOEL,1,SOUDAL QUICK-STEP,69H 41' 29'',+ 00H 27' 53'',B : 58'',-
14, MARC SOLER,17,UAE TEAM EMIRATES,69H 46' 39'',+ 00H 33' 03'',B : 8'',-
15, JUAN PEDRO LOPEZ PEREZ,51,LIDL-TREK,69H 47' 13'',+ 00H 33' 37'',-,-
16, WOUT POELS,46,BAHRAIN VICTORIOUS,69H 55' 29'',+ 00H 41' 53'',B : 4'',-
17, EINER AUGUSTO RUBIO REYES,148,MOVISTAR TEAM,69H 59' 02'',+ 00H 45' 26'',-,-
18, DAMIANO CARUSO,42,BAHRAIN VICTORIOUS,70H 07' 00'',+ 00H 53' 24'',B : 16'',-
19, EMANUEL BUCHMANN,73,BORA - HANSGROHE,70H 10' 53'',+ 00H 57' 17'',-,-
20, ANTONIO TIBERI,48,BAHRAIN VICTORIOUS,70H 14' 00'',+ 01H 00' 24'',-,-
21, ATTILA VALTER,26,JUMBO-VISMA,70H 17' 30'',+ 01H 03' 54'',-,-
22, ROMAIN BARDET,161,TEAM DSM-FIRMENICH,70H 22' 47'',+ 01H 09' 11'',B : 14'',-
23, HUGH JOHN CARTHY,101,EF EDUCATION - EASYPOST,70H 37' 01'',+ 01H 23' 25'',-,-
24, RÉMY ROCHAS,158,COFIDIS,70H 39' 02'',+ 01H 25' 26'',-,-
25, PAUL OURSELIN,186,TOTALENERGIES,70H 40' 04'',+ 01H 26' 28'',B : 2'',-
26, LENNY MARTINEZ,62,GROUPAMA - FDJ,70H 45' 05'',+ 01H 31' 29'',B : 6'',-
27, RUDY MOLARD,61,GROUPAMA - FDJ,70H 45' 05'',+ 01H 31' 29'',-,-
28, WILCO KELDERMAN,23,JUMBO-VISMA,70H 47' 26'',+ 01H 33' 50'',-,-
29, NICOLAS PRODHOMME,118,AG2R CITROEN TEAM,70H 51' 30'',+ 01H 37' 54'',-,-
30, FINN FISHER-BLACK,14,UAE TEAM EMIRATES,71H 00' 37'',+ 01H 47' 01'',B : 6'',-
31, LENNARD KÄMNA,75,BORA - HANSGROHE,71H 02' 19'',+ 01H 48' 43'',B : 10'',-
32, JAN TRATNIK,25,JUMBO-VISMA,71H 06' 17'',+ 01H 52' 41'',-,-
33, DANIEL NAVARRO GARCIA,206,BURGOS-BH,71H 06' 49'',+ 01H 53' 13'',-,-
