Team,Passing Attempts,Passing Completions,Passing Completion %,Passing Yards/Attempt,Pass Yds,Passing TDs,Passing Interceptions,Passing Rate,Passing 1st Downs,Passing 1st Down %,Passing 20+,Passing 40+,Passing Longest,Passing Sacks,Passing Sack Yards,Receiving Receptions,Receiving Yards,Receiving Yards/Reception,Receiving TDs,Receiving 20+,Receiving 40+,Receiving Longest,Receiving 1st Downs,Receiving 1st Down %,Receiving Fumbles,Rushing Attempts,Rushing Yards,Rushing Yards/Carry,Rushing TDs,Rushing 20+,Rushing 40+,Rushing Longest,Rushing 1st Downs,Rushing 1st Down %,Rushing Fumbles
Panthers,241,150,62.2,5.5,1335,8,4,81.2,73,30.3,12,1,47T,19,155,150,1335,8.9,8,12,1,47T,73,48.7,1,144,588,4.1,2,2,0,26,36,25,3
Vikings,235,158,67.2,7.1,1679,14,4,100.6,81,34.5,23,3,62T,15,97,158,1679,10.6,14,23,3,62,81,51.3,3,113,450,4,0,0,0,17,20,17.7,4
Bengals,233,147,63.1,5.3,1230,7,4,79.5,65,27.9,7,2,63T,14,111,147,1230,8.4,7,7,2,63T,65,44.2,1,121,419,3.5,1,1,0,22,26,21.5,0
Chiefs,230,156,67.8,7.1,1624,11,7,91.3,76,33,18,2,54,6,41,156,1624,10.4,11,18,2,54T,76,48.7,2,165,711,4.3,4,3,1,48T,47,28.5,1
Rams,227,139,61.2,7.4,1677,6,5,83.5,82,36.1,24,3,49,16,124,139,1677,12.1,6,24,3,49,82,59,1,153,649,4.2,7,4,0,31,38,24.8,1
Colts,222,140,63.1,6.6,1459,6,4,83.5,70,31.5,20,4,45T,15,87,140,1459,10.4,6,20,4,45T,70,50,2,166,700,4.2,8,5,1,56T,37,22.3,3
Saints,220,143,65,6.5,1425,5,4,83.2,65,29.6,17,5,51,19,125,143,1425,10,5,17,5,51T,65,45.4,0,168,575,3.4,3,0,0,19,36,21.4,2
Patriots,219,136,62.1,5.9,1287,5,7,72.6,56,25.6,10,2,58T,14,93,136,1287,9.5,5,10,2,58T,56,41.2,2,147,502,3.4,3,0,0,18,34,23.1,1
Texans,214,128,59.8,7.8,1666,10,1,98,78,36.4,25,4,68,13,115,128,1666,13,10,25,4,68,78,60.9,0,167,533,3.2,1,0,0,17,27,16.2,2
Commanders,214,145,67.8,7,1500,9,6,90.1,71,33.2,18,1,41,34,215,145,1500,10.3,9,18,1,41T,71,49,2,124,527,4.2,5,3,0,27,36,29,2
Jaguars,213,144,67.6,6.8,1447,7,3,91.8,70,32.9,16,1,45,16,104,144,1447,10,7,16,1,45T,70,48.6,3,181,681,3.8,7,5,0,35T,38,21,1
